rmse,mae,r2,split,set,model,dataset
0.40700208299511526,0.2865316867828369,0.9887836850740139,1,train,gcn,freesolv
0.4551600108333412,0.33558517694473267,0.9860156711577878,2,train,gcn,freesolv
0.5049652091402106,0.36884456872940063,0.9830377588817424,3,train,gcn,freesolv
0.3992785944567094,0.28469085693359375,0.9890390432905396,4,train,gcn,freesolv
0.13529422310607975,0.0938219353556633,0.9988190222299638,5,train,gcn,freesolv
0.3411909891290095,0.250446617603302,0.9917228910113758,6,train,gcn,freesolv
0.45796029305954894,0.3469945192337036,0.9855587111276928,7,train,gcn,freesolv
0.3605801237404427,0.25950872898101807,0.9911567476073242,8,train,gcn,freesolv
0.4942763673601845,0.3635879158973694,0.9836997807510772,9,train,gcn,freesolv
0.6231826825547268,0.44231298565864563,0.9687644267892017,10,train,gcn,freesolv
0.2990843229393483,0.21971318125724792,0.9939016266636777,11,train,gcn,freesolv
0.3609425730162972,0.2643375098705292,0.9918559143403846,12,train,gcn,freesolv
0.12676374542035299,0.08707379549741745,0.9989480271174387,13,train,gcn,freesolv
0.30886525873440973,0.23010505735874176,0.9934502572909871,14,train,gcn,freesolv
0.47028682233094793,0.32446929812431335,0.9856470812596911,15,train,gcn,freesolv
0.2640892822182015,0.1899537295103073,0.9951039146496958,16,train,gcn,freesolv
0.5671094278455626,0.4151330292224884,0.9772696612360199,17,train,gcn,freesolv
0.4770016444815673,0.33361250162124634,0.9843114663236961,18,train,gcn,freesolv
0.3293283739331097,0.23434823751449585,0.9929404139193473,19,train,gcn,freesolv
0.41858702235210415,0.29007306694984436,0.9881705064285072,20,train,gcn,freesolv
0.38190250840822887,0.25572219491004944,0.9900891955076917,21,train,gcn,freesolv
0.4516251339092632,0.32231301069259644,0.9855554121493079,22,train,gcn,freesolv
0.2990585012577154,0.20023663341999054,0.9941479965476873,23,train,gcn,freesolv
0.4949228782011371,0.3536759316921234,0.9834203086588414,24,train,gcn,freesolv
0.5306895890482873,0.3830457627773285,0.9810387064869684,25,train,gcn,freesolv
0.616921379564315,0.431746244430542,0.973512117296125,26,train,gcn,freesolv
0.5367468980629371,0.37479734420776367,0.9797229491347104,27,train,gcn,freesolv
0.5402937386886527,0.3764353096485138,0.9810571533588214,28,train,gcn,freesolv
0.6446412194966753,0.4661174714565277,0.9688237105262838,29,train,gcn,freesolv
0.45154884410127716,0.3169859051704407,0.9856300435295011,30,train,gcn,freesolv
0.6516304913729769,0.4962978661060333,0.9693532351492683,31,train,gcn,freesolv
0.2678136137379442,0.1851106584072113,0.9949870925465227,32,train,gcn,freesolv
0.61351297945098,0.4358634948730469,0.9755646059056208,33,train,gcn,freesolv
0.413499953843083,0.29363447427749634,0.9876879415702451,34,train,gcn,freesolv
0.3276766256710445,0.22950971126556396,0.9928459920222672,35,train,gcn,freesolv
0.36512599703852766,0.2539295554161072,0.9910796990250483,36,train,gcn,freesolv
0.43219872896580386,0.30439484119415283,0.9873884555399131,37,train,gcn,freesolv
0.48020426906374564,0.33083879947662354,0.9839985573652332,38,train,gcn,freesolv
0.5264666574793987,0.3531952202320099,0.9788498313997439,39,train,gcn,freesolv
0.49940559699291126,0.33478420972824097,0.9842852472263887,40,train,gcn,freesolv
0.433320878916664,0.29459449648857117,0.9871694627473229,41,train,gcn,freesolv
0.6914890261308227,0.49661868810653687,0.9681491922066014,42,train,gcn,freesolv
0.6983398582598258,0.48634064197540283,0.9676912092520541,43,train,gcn,freesolv
0.3261882755016691,0.23348960280418396,0.9927398875725542,44,train,gcn,freesolv
0.9862400128882678,0.720558226108551,0.9313423719494573,45,train,gcn,freesolv
0.21510665586538397,0.16025032103061676,0.9969667750358873,46,train,gcn,freesolv
0.9033652134638775,0.6442201733589172,0.9461400089138915,47,train,gcn,freesolv
0.3596444985331554,0.2518458366394043,0.9914344144362788,48,train,gcn,freesolv
