,activity,group,expt,calc
0,-11.01,train,-11.01,-9.625
1,-4.87,train,-4.869999900000002,-6.2189999
2,1.83,train,1.83,2.4519999
3,-5.45,train,-5.4499998,-5.809
4,-4.21,train,-4.21,-2.9170001
5,2.34,train,-6.27,-5.4439998
6,-3.92,train,2.3399999,2.4679999
7,1.58,train,-3.9200001,-2.779
8,-4.62,train,1.58,1.6849999
9,-1.96,train,-4.619999900000002,-3.145
10,-3.88,train,-1.96,-0.405
11,-4.33,train,-3.8800001,-2.4159999
12,-2.49,train,-4.329999900000002,-3.3099999
13,-2.55,train,-2.49,-3.1099999
14,-4.78,train,-2.55,-1.501
15,-2.22,train,-4.7800002,-2.5969999
16,2.88,train,-1.46,-1.7519999999999998
17,-6.34,train,-2.22,-2.2539999
18,-6.1,train,-5.8499999,-5.8330002
19,-5.48,train,2.8800001,2.6860001
20,-4.1,train,-6.3400002,-8.2919998
21,-4.1,train,-6.0999999,-10.644
22,-4.47,train,-5.48,-4.3449998
23,-3.43,train,-4.0999998999999985,-3.6040001
24,0.93,train,-4.0999998999999985,-3.2379999
25,-6.78,train,-3.52,-2.1470001
26,-9.29,train,-4.4699998,-3.2880001000000005
27,-4.07,train,-2.74,-2.6289999
28,-2.13,train,-3.4300001000000004,-3.148
29,-3.64,train,-7.809999900000001,-6.932000200000001
30,-2.68,train,-0.80000001,-0.65799999
31,3.13,train,0.93000001,2.3570001
32,-10.0,train,-6.780000200000001,-7.665
33,-8.11,train,-9.29,-8.112999900000002
34,-1.12,train,-4.0700002,-2.9860001
35,-23.62,train,-5.9099998,-5.5430002
36,-2.83,train,-2.1300001,-3.414
37,-4.68,train,-3.6400001,-2.4460001
38,-5.56,train,-2.6800001,-3.221
39,-3.65,train,3.1300001,3.221
40,-5.49,train,-10.0,-8.276
41,-4.42,train,2.0599999,2.9949999
42,-6.2,train,-8.1099997,-7.849
43,-6.96,train,-1.12,-0.117
44,-0.16,train,-23.620001,-18.162001
45,-0.25,train,-2.8299999,-3.552
46,-9.3,train,-4.6799998,-8.809
47,-4.63,train,-5.5599999,-3.861000100000001
48,-10.22,train,-3.6500001,-2.233
49,-3.56,train,-5.4899998,-5.5430002
50,-3.65,train,3.1199999,2.4890001
51,-9.51,train,-4.420000099999998,-2.9949999
52,-0.23,train,-6.1999998,-3.221
53,-16.43,train,-6.96,-7.393000099999999
54,-3.2,train,-0.16,0.28400001
55,-9.31,train,-0.25,-0.56999999
56,-1.88,train,-4.630000099999998,-3.5009999
57,-14.21,train,-10.22,-10.914
58,-2.88,train,-3.5599999,-3.5899999
59,-7.77,train,-3.6500001,-2.589
60,-4.5,train,1.0700001,-1.4409999999999998
61,-0.99,train,-9.5100002,-9.7849998
62,-3.78,train,-0.23,-0.093999997
63,-0.84,train,-0.11,0.226
64,-7.66,train,-16.43,-16.039
65,-3.15,train,0.56,1.955
66,-6.62,train,-3.2,-2.6359999
67,-18.17,train,-9.3100004,-8.1029997
68,2.1,train,-1.88,-1.835
69,-0.55,train,-14.21,-13.599
70,-0.03,train,-8.1800003,-6.676000099999999
71,-1.21,train,-2.8800001,-2.7579999
72,2.67,train,-7.77,-8.1730003
73,-9.73,train,-4.5,-3.1559999
74,-2.49,train,-0.99000001,-0.097999997
75,-4.02,train,-3.78,-4.3039999
76,-2.1,train,-0.83999997,0.18700001
77,-4.59,train,-7.6599998,-6.968999900000001
78,2.3,train,-3.1500001,-4.198
79,-6.09,train,0.51999998,1.352
80,-7.07,train,-6.619999900000002,-5.1329999000000015
81,-0.33,train,-18.17,-17.298
82,-1.28,train,2.0999999,2.5880001
83,-3.88,train,-0.55000001,0.764
84,-1.92,train,-0.029999999,0.75599998
85,0.1,train,-1.21,0.14
86,1.01,train,2.6700001,2.925
87,-0.83,train,-9.630000099999998,-7.972000099999999
88,-3.13,train,-3.8399999,-2.6600001
89,-4.04,train,-9.7299995,-14.496
90,-3.64,train,-2.49,-1.882
91,-1.1,train,-4.1300001,-4.5689998
92,-9.61,train,-4.02,-2.075
93,-2.38,train,-2.0999999,-0.70999998
94,-2.23,train,-4.5900002,-3.638
95,-1.66,train,2.3,2.5350001
96,-6.32,train,-6.0900002,-8.843999900000002
97,-9.65,train,-7.070000200000001,-9.029000300000002
98,-4.38,train,-0.33000001,0.97299999
99,-0.53,train,-1.28,0.63999999
100,-12.64,train,-4.059999899999998,-2.585
101,-4.29,train,-3.8800001,-2.789
102,-7.03,train,-1.92,-3.964
103,-5.11,train,0.1,-1.156
104,-0.89,train,1.01,2.487
105,-6.44,train,-0.82999998,-0.69700003
106,-0.78,train,-3.1300001,-3.8299999
107,2.3,train,-4.04,-5.559
108,-3.64,train,-3.6400001,-4.5970001
109,-5.04,train,-1.1,-0.182
110,-1.82,train,-3.04,-2.9449999
111,-2.46,train,-9.6099997,-11.126
112,-3.48,train,-2.3800001,-1.853
113,2.52,train,-2.23,-2.9289999
114,-3.73,train,-1.66,-0.59799999
115,-3.12,train,-6.3200002,-5.7740002
116,-3.17,train,-9.6499996,-7.738999799999998
117,0.25,train,-4.380000099999998,-0.70499998
118,-4.5,train,-0.52999997,-0.51099998
119,-2.44,train,-12.64,-17.621
120,-2.73,train,-4.29,-2.9909999
121,-5.66,train,2.9300001,2.3050001
122,1.09,train,-7.030000200000001,-5.3730001
123,0.68,train,-5.1100001,-3.8729999
124,-0.68,train,-3.8800001,-5.2639999
125,-8.41,train,-0.88999999,-0.64099997
126,-9.3,train,-6.4400001,-5.98
127,-1.36,train,-0.77999997,1.024
128,-15.83,train,2.3,2.6730001
129,-2.48,train,-3.6400001,-2.2869999
130,-3.1,train,0.5,0.234
131,-6.21,train,-5.04,-5.494999900000002
132,-5.71,train,-1.8200001,-1.864
133,-4.86,train,-2.46,-1.903
134,0.14,train,-3.48,-1.3099999
135,-7.58,train,2.52,2.625
136,-3.04,train,-3.73,-2.9070001
137,-6.5,train,-3.1199999,-1.809
138,-4.0,train,0.75,2.4849999
139,-0.44,train,-3.1700001,-0.82200003
140,-4.15,train,0.25,1.108
141,-5.22,train,-4.5,-3.1300001
142,-18.06,train,-2.4400001,-2.4530001
143,-4.02,train,-0.63999999,0.88499999
144,-4.39,train,-2.73,-1.325
145,-4.7,train,-5.6599998,-4.7680001
146,-1.14,train,1.09,0.82599998
147,-9.8,train,0.68000001,1.824
148,-4.42,train,-0.68000001,-0.456
149,-0.4,train,-8.409999800000001,-6.2820000999999985
150,-3.45,train,-9.3000002,-7.265999799999999
151,-2.98,train,-1.36,-0.55299997
152,-1.99,train,-15.83,-15.128
153,-4.69,train,-2.48,-3.6989999
154,-2.64,train,-3.0999999,-4.0539999
155,-0.9,train,-6.21,-7.877999799999999
