,activity,group,CMPD_CHEMBLID,exp
0,3.54,train,CHEMBL596271,3.54
1,-1.18,train,CHEMBL1951080,-1.1799999
2,3.69,train,CHEMBL1771,3.6900001
3,3.37,train,CHEMBL234951,3.3699999
4,3.1,train,CHEMBL565079,3.0999999
5,3.05,train,CHEMBL317462,3.1400001
6,2.61,train,CHEMBL1951182,-0.72000003
7,-0.08,train,CHEMBL2030960,0.34
8,1.95,train,CHEMBL13097,3.05
9,1.34,train,CHEMBL1527751,2.25
10,3.2,train,CHEMBL1940306,1.51
11,1.6,train,CHEMBL578201,2.6099999
12,3.77,train,CHEMBL276218,-0.079999998
13,3.15,train,CHEMBL2153181,1.95
14,0.32,train,CHEMBL1916276,1.34
15,2.92,train,CHEMBL93884,3.2
16,1.92,train,CHEMBL2171986,1.6
17,3.17,train,CHEMBL190044,3.77
18,2.17,train,CHEMBL469790,3.1500001
19,1.2,train,CHEMBL2165055,0.31999999
20,1.9,train,CHEMBL322479,2.9200001
21,1.2,train,CHEMBL2036736,1.92
22,2.6,train,CHEMBL2179291,3.1700001
23,2.34,train,CHEMBL2158823,2.1700001
24,2.57,train,CHEMBL641,1.2
25,3.62,train,CHEMBL1289785,3.9300001
26,2.06,train,CHEMBL1381135,1.9
27,4.33,train,CHEMBL528217,2.27
28,2.55,train,CHEMBL2177621,1.2
29,2.78,train,CHEMBL475386,1.14
30,1.4,train,CHEMBL2325699,2.5999999
31,-0.54,train,CHEMBL2010845,3.3
32,-0.4,train,CHEMBL103,3.9400001
33,-0.16,train,CHEMBL2208428,2.3399999
34,2.2,train,CHEMBL1796293,2.5699999
35,3.4,train,CHEMBL1557436,3.6199999
36,1.1,train,CHEMBL2031236,2.0599999
37,2.28,train,CHEMBL2087849,4.329999900000002
38,3.0,train,CHEMBL1235773,2.55
39,1.95,train,CHEMBL339051,2.78
40,-0.99,train,CHEMBL168899,1.4
41,2.0,train,CHEMBL517,-0.54000002
42,3.8,train,CHEMBL578288,2.9100001
43,0.36,train,CHEMBL1778648,-0.40000001
44,1.71,train,CHEMBL1778635,-0.16
45,1.19,train,CHEMBL1234354,2.2
46,2.7,train,CHEMBL1550278,3.4000001
47,2.77,train,CHEMBL1096,1.1
48,3.8,train,CHEMBL1807822,2.28
49,2.87,train,CHEMBL1310086,3.47
50,1.91,train,CHEMBL373364,3.0
51,3.4,train,CHEMBL484901,-1.17
52,3.13,train,CHEMBL1233652,1.95
53,3.0,train,CHEMBL2059196,-0.99000001
54,2.33,train,CHEMBL1934414,2.0
55,2.8,train,CHEMBL1415894,3.8
56,-0.54,train,CHEMBL2335875,3.21
57,3.16,train,CHEMBL1916269,0.36000001
58,2.91,train,CHEMBL1224139,2.1400001
59,1.55,train,CHEMBL1082812,1.71
60,0.2,train,CHEMBL12980,1.1900001
61,2.47,train,CHEMBL1412343,2.7
62,2.48,train,CHEMBL453862,2.77
63,-0.45,train,CHEMBL296572,3.8
64,2.0,train,CHEMBL239513,2.8699999
65,2.6,train,CHEMBL479445,1.91
66,3.5,train,CHEMBL2152917,3.4000001
67,0.89,train,CHEMBL299672,3.1300001
68,1.3,train,CHEMBL1682820,3.0
69,2.01,train,CHEMBL247367,2.3299999
70,3.59,train,CHEMBL2010834,2.8
71,0.18,train,CHEMBL1945293,-0.54000002
72,1.3,train,CHEMBL1652588,3.1600001
73,2.1,train,CHEMBL190812,2.9100001
74,3.72,train,CHEMBL235392,1.55
75,1.72,train,CHEMBL62193,0.2
76,1.65,train,CHEMBL1784338,1.4299999
77,3.7,train,CHEMBL1650698,2.47
78,2.2,train,CHEMBL2062583,2.48
79,0.2,train,CHEMBL4,-0.44999999
80,1.49,train,CHEMBL2158534,2.0
81,4.28,train,CHEMBL492234,2.5999999
82,-0.95,train,CHEMBL131921,3.5
83,1.64,train,CHEMBL21731,0.88999999
84,2.02,train,CHEMBL346528,1.3
85,3.09,train,CHEMBL133501,2.01
86,2.18,train,CHEMBL2087854,3.5899999
87,4.4,train,CHEMBL1689126,0.18000001
88,3.28,train,CHEMBL1650728,2.5999999
89,3.04,train,CHEMBL1800528,2.0999999
90,3.12,train,CHEMBL143305,3.72
91,0.06,train,CHEMBL2326481,1.72
92,2.49,train,CHEMBL15245,1.65
93,2.81,train,CHEMBL1852688,3.7
94,3.52,train,CHEMBL2171169,2.2
95,2.5,train,CHEMBL2216830,2.04
96,1.33,train,CHEMBL381098,4.4899998
97,1.83,train,CHEMBL284275,0.2
98,3.6,train,CHEMBL2177167,2.0
99,-0.56,train,CHEMBL2331746,1.49
100,2.88,train,CHEMBL1712280,4.2800002
101,1.0,train,CHEMBL1790041,-0.94999999
102,2.4,train,CHEMBL1184060,1.64
103,1.89,train,CHEMBL1502799,2.02
104,1.52,train,CHEMBL2208436,3.0899999
105,3.2,train,CHEMBL480445,2.1800001
106,0.1,train,CHEMBL1392670,4.4000001
107,2.0,train,CHEMBL1455477,3.28
108,2.71,train,CHEMBL1939414,3.04
109,0.7,train,CHEMBL1617016,3.1199999
110,3.67,train,CHEMBL2207600,0.05999999900000001
111,2.83,train,CHEMBL244213,2.49
112,0.82,train,CHEMBL404957,1.11
113,1.0,train,CHEMBL520252,2.8099999
114,3.07,train,CHEMBL190747,3.52
115,1.6,train,CHEMBL1079175,2.5
116,1.58,train,CHEMBL1499868,4.48
117,2.68,train,CHEMBL1824042,1.33
118,1.7,train,CHEMBL2158827,1.83
119,2.21,train,CHEMBL520925,3.5999999
120,2.49,train,CHEMBL181502,3.2
121,1.61,train,CHEMBL1962631,-0.56
122,1.2,train,CHEMBL470915,3.53
123,-1.34,train,CHEMBL1163803,4.3000002
124,1.26,train,CHEMBL598194,2.8800001
125,3.0,train,CHEMBL42,3.0799999
126,0.21,train,CHEMBL2178954,1.0
127,1.55,train,CHEMBL373250,2.4000001
128,2.82,train,CHEMBL1169388,1.89
129,3.52,train,CHEMBL2171046,1.52
130,3.2,train,CHEMBL144960,3.3299999
131,1.78,train,CHEMBL271023,0.79000002
132,1.43,train,CHEMBL90531,3.2
133,2.51,train,CHEMBL645,0.1
134,2.49,train,CHEMBL2178950,0.22
135,2.31,train,CHEMBL2178393,2.0
136,2.2,train,CHEMBL1809049,4.0
137,1.77,train,CHEMBL1373079,2.71
138,1.5,train,CHEMBL74380,0.69999999
139,2.5,train,CHEMBL257600,3.6700001
140,3.17,train,CHEMBL1362558,0.87
141,3.19,train,CHEMBL2059861,2.8299999
142,1.65,train,CHEMBL235191,0.81999999
143,2.8,train,CHEMBL197536,1.0
144,3.89,train,CHEMBL1086580,3.0699999
145,2.28,train,CHEMBL1290331,3.0699999
146,2.75,train,CHEMBL203370,1.6
147,1.6,train,CHEMBL1945035,1.58
148,2.4,train,CHEMBL551360,2.6199999
149,1.79,train,CHEMBL1783284,3.3699999
150,1.01,train,CHEMBL1909734,2.6800001
151,3.62,train,CHEMBL1481866,1.7
152,1.29,train,CHEMBL1831079,2.21
153,1.1,train,CHEMBL437,-0.37
154,2.15,train,CHEMBL272105,2.49
155,1.98,train,CHEMBL1940108,3.1099999
156,1.17,train,CHEMBL370252,0.74000001
157,2.53,train,CHEMBL205245,1.61
158,1.13,train,CHEMBL2070946,1.2
159,1.3,train,CHEMBL443320,-1.34
160,0.35,train,CHEMBL1779497,1.26
161,1.8,train,CHEMBL1332736,1.3
162,3.2,train,CHEMBL2070948,1.9
163,0.82,train,CHEMBL1732699,3.0
164,3.19,train,CHEMBL1917433,0.20999999
165,3.3,train,CHEMBL2141746,1.55
166,2.35,train,CHEMBL256576,2.8199999
167,1.73,train,CHEMBL87388,3.52
168,3.3,train,CHEMBL150606,3.2
169,2.41,train,CHEMBL8809,1.09
170,0.61,train,CHEMBL1233655,0.55000001
171,3.57,train,CHEMBL384962,1.78
