,NR-AR,NR-AR-LBD,NR-AhR,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,group,mol_id
0,0.0,0.0,1.0,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,train,TOX3021
1,,,,,,,,0.0,,0.0,,,train,TOX3020
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,train,TOX3024
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train,TOX3027
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,train,TOX20800
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train,TOX5110
6,0.0,,0.0,,1.0,,,1.0,0.0,1.0,0.0,1.0,train,TOX6619
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,train,TOX25232
8,,,,,,,,0.0,,0.0,,,train,TOX22514
9,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,,0.0,train,TOX25236
10,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train,TOX25238
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train,TOX6612
12,0.0,0.0,0.0,,0.0,0.0,,1.0,0.0,0.0,0.0,,train,TOX6615
13,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,train,TOX15748
14,0.0,0.0,0.0,,0.0,,,,,0.0,,,train,TOX14833
15,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,train,TOX26529
16,0.0,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,train,TOX26524
17,,,,,,,,0.0,,0.0,,,train,TOX26525
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,train,TOX26526
19,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,train,TOX26521
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train,TOX26523
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,train,TOX4460
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train,TOX22631
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train,TOX22632
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train,TOX22633
25,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train,TOX1883
26,0.0,,1.0,,,0.0,,1.0,0.0,0.0,1.0,1.0,train,TOX4463
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train,TOX1885
28,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,train,TOX1886
29,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,train,TOX1889
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,train,TOX1888
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train,TOX4465
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train,TOX1106
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,train,TOX161
34,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,train,TOX22180
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,train,TOX22181
36,0.0,0.0,,0.0,0.0,,,0.0,0.0,,1.0,,train,TOX22187
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train,TOX22188
38,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train,TOX22189
39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train,TOX7876
40,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,train,TOX7877
41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train,TOX7875
42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train,TOX7870
43,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,train,TOX4110
44,0.0,0.0,0.0,,,0.0,0.0,1.0,0.0,0.0,,0.0,train,TOX4112
45,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,train,TOX4113
46,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,train,TOX27698
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train,TOX27695
48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train,TOX24280
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train,TOX10138
50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train,TOX21464
51,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train,TOX21728
52,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train,TOX21721
53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train,TOX21726
54,0.0,0.0,1.0,0.0,,0.0,0.0,1.0,0.0,0.0,1.0,,train,TOX24000
55,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,train,TOX24002
