roc_auc,prc_auc,split,set,model,dataset
1.0,1.0,1,train,gcn,bace
0.9966627125558227,0.9962381704957006,2,train,gcn,bace
0.9995727448857025,0.9994846093461669,3,train,gcn,bace
0.9826075500815985,0.9815331492541297,4,train,gcn,bace
0.9930957162791074,0.9918993221869178,5,train,gcn,bace
0.9713689778628334,0.9657892675250783,6,train,gcn,bace
0.9984908223131921,0.9981533338860585,7,train,gcn,bace
0.9997252858239406,0.9996780202905906,8,train,gcn,bace
0.9771257737646133,0.9701162659904373,9,train,gcn,bace
0.9900858464872306,0.9892582563995587,10,train,gcn,bace
0.9971172764511724,0.9966176131942635,11,train,gcn,bace
0.9999932839028585,0.9999921379355818,12,train,gcn,bace
0.9085662195108852,0.8826673133909863,13,train,gcn,bace
0.9671629379258544,0.9573311924297809,14,train,gcn,bace
0.9999919709670168,0.99999115586536,15,train,gcn,bace
0.9944700001884157,0.9932170681009461,16,train,gcn,bace
0.9982671406203258,0.9980969267022266,17,train,gcn,bace
0.9961243634414365,0.9956640674412784,18,train,gcn,bace
0.9995545315313619,0.9994616812761878,19,train,gcn,bace
0.9904687028820057,0.9883208584822194,20,train,gcn,bace
0.9704173945343306,0.9601060452355197,21,train,gcn,bace
0.9991100875619905,0.9989405569248513,22,train,gcn,bace
0.9935832248889843,0.9922075447852047,23,train,gcn,bace
0.9992284116283063,0.9990550012553775,24,train,gcn,bace
0.9936522217895175,0.9920927124422954,25,train,gcn,bace
0.9993483687722192,0.9992449780896647,26,train,gcn,bace
0.9958590877873389,0.9950293309241982,27,train,gcn,bace
0.9994767778121512,0.9993891854823995,28,train,gcn,bace
0.999935558013898,0.9999280697924344,29,train,gcn,bace
0.9875900925129087,0.9855400784535254,30,train,gcn,bace
0.996233932884748,0.9953599696215004,31,train,gcn,bace
0.9978927249348355,0.9976802790087482,32,train,gcn,bace
0.9905173642197864,0.9882858356973402,33,train,gcn,bace
0.9999084838191318,0.99989058687739,34,train,gcn,bace
0.9994436141961703,0.9994139246971865,35,train,gcn,bace
0.9844260972461274,0.9814074016363814,36,train,gcn,bace
0.9096364832744706,0.8763257259578269,37,train,gcn,bace
0.9924564328743546,0.992013599193069,38,train,gcn,bace
0.9649241169420543,0.9532645849920836,39,train,gcn,bace
0.9999973032956424,0.9999967091867192,40,train,gcn,bace
0.9680037844986077,0.9578327372845892,41,train,gcn,bace
0.996203178620975,0.9953313706699833,42,train,gcn,bace
0.9972906968899682,0.9967691242822745,43,train,gcn,bace
0.9997820401046207,0.9997194644467677,44,train,gcn,bace
0.9999810973782064,0.9999767290669186,45,train,gcn,bace
0.989683734939759,0.9874243855175399,46,train,gcn,bace
0.9999164562351945,0.9998981856277009,47,train,gcn,bace
0.976588007611993,0.972088120992567,48,train,gcn,bace
0.9862311767986615,0.9832808825969344,49,train,gcn,bace
0.9999690273232874,0.9999627637912243,50,train,gcn,bace
0.9297908664105847,0.907655367186884,1,validation,gcn,bace
0.9084084084084084,0.8635230647221617,2,validation,gcn,bace
0.8215962441314554,0.7532795626220778,3,validation,gcn,bace
0.8976429506765605,0.8362402341152696,4,validation,gcn,bace
0.9157063593683312,0.885761496139758,5,validation,gcn,bace
0.9153846153846154,0.9096189777800574,6,validation,gcn,bace
0.9329059829059829,0.9236469838878565,7,validation,gcn,bace
0.9325770547945206,0.9290612247459803,8,validation,gcn,bace
0.9166666666666666,0.8907305465684744,9,validation,gcn,bace
0.9505543237250554,0.918368025006085,10,validation,gcn,bace
0.9044776119402986,0.9082399462916868,11,validation,gcn,bace
0.8857020547945205,0.8751790858962231,12,validation,gcn,bace
0.8846318493150686,0.8512873785212237,13,validation,gcn,bace
0.922425032594524,0.8840334127843855,14,validation,gcn,bace
0.8562443845462714,0.8096341969410532,15,validation,gcn,bace
0.9176344086021506,0.9108614701943367,16,validation,gcn,bace
0.8931769722814499,0.8615785610733869,17,validation,gcn,bace
0.9133606931144551,0.8717911266519995,18,validation,gcn,bace
0.9510822510822511,0.9160091675635257,19,validation,gcn,bace
0.9355263157894735,0.9155175539058573,20,validation,gcn,bace
0.8884615384615385,0.9004124584296448,21,validation,gcn,bace
0.8880565068493151,0.8883680495964119,22,validation,gcn,bace
0.9317982456140351,0.9141549688681898,23,validation,gcn,bace
0.9097035040431267,0.863320139249651,24,validation,gcn,bace
0.9061691113028474,0.848762046243775,25,validation,gcn,bace
0.8863247863247863,0.862831546911289,26,validation,gcn,bace
0.9056764831412718,0.9037070974656867,27,validation,gcn,bace
0.9156989247311829,0.908584644102953,28,validation,gcn,bace
0.8864638447971781,0.8653728126849151,29,validation,gcn,bace
0.9360670194003528,0.8893106032228953,30,validation,gcn,bace
0.9475599315068493,0.9488116934581907,31,validation,gcn,bace
0.8912393162393162,0.8690467588039004,32,validation,gcn,bace
0.9277777777777778,0.9145849550755649,33,validation,gcn,bace
0.9435897435897436,0.9155500943030561,34,validation,gcn,bace
0.9271929824561403,0.8922936148832106,35,validation,gcn,bace
0.9365800865800866,0.9012119948766831,36,validation,gcn,bace
0.8953091684434968,0.8665367731600748,37,validation,gcn,bace
0.944777397260274,0.9438252309782125,38,validation,gcn,bace
0.9233888177550149,0.9118761344941907,39,validation,gcn,bace
0.9438034188034189,0.936885382152854,40,validation,gcn,bace
0.9519736842105263,0.9360007462346303,41,validation,gcn,bace
0.9329032258064516,0.944933730003419,42,validation,gcn,bace
0.9324849007765316,0.9197647290655995,43,validation,gcn,bace
