rmse,mae,r2,split,set,model,dataset
0.3258256502335107,0.24358396232128143,0.9754075884528737,1,train,gat,esol
0.3616105496617787,0.28498727083206177,0.9711084271874588,2,train,gat,esol
0.41284412493915035,0.3121209144592285,0.9599312920539051,3,train,gat,esol
0.4937628104564044,0.3745463490486145,0.9435759773927835,4,train,gat,esol
0.5029098951278377,0.38149675726890564,0.9415370202470354,5,train,gat,esol
0.29149162483861374,0.21655859053134918,0.9804888955167306,6,train,gat,esol
0.3054545723632353,0.22761563956737518,0.979121883040631,7,train,gat,esol
0.1903861656339814,0.1403133124113083,0.9918895409160491,8,train,gat,esol
0.3520976655721539,0.2653753459453583,0.9709729343836813,9,train,gat,esol
0.6128322148008966,0.45056667923927307,0.9121607437310453,10,train,gat,esol
0.37190875853851313,0.285419762134552,0.9688031900159658,11,train,gat,esol
0.38857950617780096,0.29676857590675354,0.9654307460767969,12,train,gat,esol
0.5076424240526134,0.38520491123199463,0.9430712320316317,13,train,gat,esol
0.35382155358598166,0.2771501839160919,0.9713227408358736,14,train,gat,esol
0.596073823248296,0.45811793208122253,0.9211382582061487,15,train,gat,esol
0.38111862748931263,0.295264333486557,0.966638976983283,16,train,gat,esol
0.31931610512466974,0.23672930896282196,0.9767357361672124,17,train,gat,esol
0.5688379376936038,0.426757276058197,0.9258440224240642,18,train,gat,esol
0.3319454082149594,0.25795745849609375,0.9746003380653876,19,train,gat,esol
0.1985881023669416,0.145664244890213,0.9909588814275897,20,train,gat,esol
0.23043266110814212,0.17605967819690704,0.9876475929459655,21,train,gat,esol
0.5215595205506465,0.3913087248802185,0.9386720459480156,22,train,gat,esol
0.2749911312277085,0.21344174444675446,0.982681752210035,23,train,gat,esol
0.38597053818855603,0.2918718159198761,0.9663076235489226,24,train,gat,esol
0.4702518088130041,0.3475899398326874,0.9495448363150113,25,train,gat,esol
0.45144679623226563,0.33836230635643005,0.9523786729112133,26,train,gat,esol
0.3805262159935735,0.283205509185791,0.9672016146047706,27,train,gat,esol
0.17878131835514782,0.1342889666557312,0.9929446433052158,28,train,gat,esol
0.3261815486547043,0.2452571541070938,0.9759603233419605,29,train,gat,esol
0.31009647408322727,0.23905912041664124,0.9785889873688765,30,train,gat,esol
0.6737123251663084,0.5160198211669922,0.8956118354557445,31,train,gat,esol
0.35170887972634085,0.26815009117126465,0.9723351890046462,32,train,gat,esol
0.3220738389358255,0.24723874032497406,0.9757914314967046,33,train,gat,esol
0.7581071968850062,0.5877284407615662,0.8705825161857503,34,train,gat,esol
0.5145954778012962,0.3946112394332886,0.937597853095953,35,train,gat,esol
