rmse,mae,r2,split,set,model,dataset
0.481176723128154,0.36097511649131775,0.9843228851747302,1,train,gat,freesolv
0.1827759180391851,0.13837137818336487,0.9977449750627894,2,train,gat,freesolv
0.6373937340598071,0.491408109664917,0.9729743648534785,3,train,gat,freesolv
0.45433283013294723,0.33409518003463745,0.9858079666280433,4,train,gat,freesolv
0.32011716981134836,0.23401978611946106,0.9933884824214734,5,train,gat,freesolv
0.7037861364853973,0.5063769817352295,0.9647819757325345,6,train,gat,freesolv
0.5394329511998497,0.37379199266433716,0.9799633444816972,7,train,gat,freesolv
0.609331863050266,0.45049259066581726,0.9747468089017614,8,train,gat,freesolv
0.45336988014567614,0.3280234634876251,0.9862861603342279,9,train,gat,freesolv
0.48791369527937606,0.36511245369911194,0.9808528222087433,10,train,gat,freesolv
0.6323680494280518,0.4472627639770508,0.9727374453186185,11,train,gat,freesolv
0.4387944519858464,0.3108896315097809,0.9879638279556855,12,train,gat,freesolv
0.3019061911997191,0.20986856520175934,0.9940329663485862,13,train,gat,freesolv
0.2390416316978301,0.1748131513595581,0.9960768654116952,14,train,gat,freesolv
0.5759287175602301,0.44912189245224,0.9784745580088022,15,train,gat,freesolv
0.38551031942322606,0.2725769877433777,0.9895667538675523,16,train,gat,freesolv
0.7041860416011617,0.2792067527770996,0.9649533088254824,17,train,gat,freesolv
0.614419670188527,0.4270704984664917,0.9739700804915935,18,train,gat,freesolv
0.378411747050668,0.27902936935424805,0.9906792646417689,19,train,gat,freesolv
0.07670324778823831,0.05400509759783745,0.9996027882052536,20,train,gat,freesolv
0.3347357946968608,0.23973466455936432,0.9923860819388096,21,train,gat,freesolv
0.3175510136854966,0.2372734546661377,0.9928587218375007,22,train,gat,freesolv
0.35739606753706404,0.2592993676662445,0.9916422032370635,23,train,gat,freesolv
0.535376232070093,0.3563188314437866,0.9805992049777242,24,train,gat,freesolv
0.5278815458859771,0.3569873571395874,0.9812388345393463,25,train,gat,freesolv
0.41165888602642725,0.3016522228717804,0.9882059602443521,26,train,gat,freesolv
0.3554593179310753,0.23739774525165558,0.9911070563495947,27,train,gat,freesolv
0.5966294137906136,0.4343739449977875,0.976900920241818,28,train,gat,freesolv
0.5468884057717943,0.39156460762023926,0.9775619186731783,29,train,gat,freesolv
0.32844052584676187,0.23744797706604004,0.9923974473522076,30,train,gat,freesolv
