rmse,mae,r2,split,set,model,dataset
0.20328364229370616,0.15158796310424805,0.9972019094167436,1,train,gcn,freesolv
0.30103571147814284,0.22483129799365997,0.9938828456848571,2,train,gcn,freesolv
0.6151985036898127,0.45683249831199646,0.9748237592007581,3,train,gcn,freesolv
0.24377547613914466,0.17029859125614166,0.9959142063806797,4,train,gcn,freesolv
0.4805961843069655,0.33505356311798096,0.9850980241573449,5,train,gcn,freesolv
0.3743635180309472,0.2710177004337311,0.9900351540585777,6,train,gcn,freesolv
0.6138241060039694,0.4409150183200836,0.9740559265770291,7,train,gcn,freesolv
0.20900351000021847,0.14054043591022491,0.9970289110540828,8,train,gcn,freesolv
0.6318713359556737,0.44168418645858765,0.9733614202931983,9,train,gcn,freesolv
0.6620255138661002,0.5058173537254333,0.9647492643196182,10,train,gcn,freesolv
0.35129700278342746,0.25756245851516724,0.9915865210960425,11,train,gcn,freesolv
0.3946051009148154,0.27290448546409607,0.9902659958237492,12,train,gcn,freesolv
0.22659831750496384,0.15751913189888,0.996638541237928,13,train,gcn,freesolv
0.27232418935524305,0.19044996798038483,0.9949083497015127,14,train,gcn,freesolv
0.42893982774941364,0.3131212890148163,0.9880599169128618,15,train,gcn,freesolv
0.21571737743185826,0.15155939757823944,0.9967332363979761,16,train,gcn,freesolv
0.23114192570109107,0.15926814079284668,0.996224020442575,17,train,gcn,freesolv
0.8362841021280064,0.6085266470909119,0.9517774344846986,18,train,gcn,freesolv
0.3450121358623596,0.24380739033222198,0.9922519983762842,19,train,gcn,freesolv
0.48491507846106524,0.3404742181301117,0.9841245517126219,20,train,gcn,freesolv
0.5781575013381136,0.4053507149219513,0.9772858631962713,21,train,gcn,freesolv
0.404879790173819,0.28612008690834045,0.9883908310512933,22,train,gcn,freesolv
0.3008697676764306,0.2208658754825592,0.9940768956506234,23,train,gcn,freesolv
1.0012444263355504,0.7543684244155884,0.9321450404483406,24,train,gcn,freesolv
0.5022280938121518,0.35902366042137146,0.983017999933871,25,train,gcn,freesolv
0.21851733300118095,0.14899514615535736,0.9966767778488078,26,train,gcn,freesolv
0.4125305662967994,0.29121601581573486,0.9880221743402002,27,train,gcn,freesolv
0.3248383564797154,0.21901506185531616,0.9931526902934488,28,train,gcn,freesolv
0.1778997343710556,0.12642209231853485,0.997625682021583,29,train,gcn,freesolv
0.363772726364953,0.24750052392482758,0.9906737675873861,30,train,gcn,freesolv
0.35108467054659453,0.2452448308467865,0.9911037788042575,31,train,gcn,freesolv
0.19951772694776668,0.15372245013713837,0.9972178061639924,32,train,gcn,freesolv
0.44998587745122415,0.299174964427948,0.986854727944357,33,train,gcn,freesolv
0.6381201037556276,0.43366971611976624,0.970678606969797,34,train,gcn,freesolv
0.330701025819413,0.23525242507457733,0.9927133222318503,35,train,gcn,freesolv
0.1780291722005504,0.12385393679141998,0.9978793139666404,36,train,gcn,freesolv
0.26694625537530187,0.18918271362781525,0.9951888488501348,37,train,gcn,freesolv
0.7357692874528168,0.5128195881843567,0.9624343925603351,38,train,gcn,freesolv
0.41317502767780084,0.27397701144218445,0.9869731254014523,39,train,gcn,freesolv
0.44101569527962514,0.29428473114967346,0.9877451268559359,40,train,gcn,freesolv
0.33080263022771894,0.23669569194316864,0.9925223778895069,41,train,gcn,freesolv
0.3700115888623604,0.26052325963974,0.9908803001721184,42,train,gcn,freesolv
0.25299270316201194,0.1748351901769638,0.9957596367316754,43,train,gcn,freesolv
0.46211804327811623,0.32512378692626953,0.9854282223632548,44,train,gcn,freesolv
0.2850533783224169,0.19282224774360657,0.9942644385646563,45,train,gcn,freesolv
0.23840812525909857,0.1680092066526413,0.9962740328353539,46,train,gcn,freesolv
0.420619916700961,0.3084975481033325,0.9883233243333222,47,train,gcn,freesolv
0.23925329710144444,0.1894080489873886,0.9962092420616974,48,train,gcn,freesolv
0.5287947578064293,0.3720512390136719,0.9811174107559765,49,train,gcn,freesolv
0.6320054359021183,0.4656928777694702,0.9743331433501179,50,train,gcn,freesolv
0.7040786421982956,0.5247842669487,0.9719482757270739,1,validation,gcn,freesolv
0.7336384752511106,0.5179720520973206,0.9539715887935505,2,validation,gcn,freesolv
0.7291318521816927,0.509931743144989,0.9683092249167407,3,validation,gcn,freesolv
0.6156270303063389,0.4501769542694092,0.9694246385211693,4,validation,gcn,freesolv
0.8699156316868043,0.5801363587379456,0.9435537638654907,5,validation,gcn,freesolv
0.8272583583318461,0.548809826374054,0.9655881313045236,6,validation,gcn,freesolv
0.8014777155423894,0.6164783835411072,0.9387535883279127,7,validation,gcn,freesolv
0.670101197379118,0.4853892922401428,0.9732357074481044,8,validation,gcn,freesolv
1.0954673363792518,0.6556811332702637,0.9249388897024371,9,validation,gcn,freesolv
1.149386007765497,0.6952381134033203,0.9287978535533876,10,validation,gcn,freesolv
0.7062320090846538,0.4899879992008209,0.972208485965175,11,validation,gcn,freesolv
0.585430459938143,0.4436635971069336,0.954821866514795,12,validation,gcn,freesolv
0.7776856940307593,0.5288383364677429,0.9560110872436143,13,validation,gcn,freesolv
0.8320052809983242,0.5927779674530029,0.956925937904832,14,validation,gcn,freesolv
0.9940393842247822,0.6625469923019409,0.9371160048994367,15,validation,gcn,freesolv
0.4908863307091039,0.38410449028015137,0.9822613368391443,16,validation,gcn,freesolv
0.6632205337754224,0.4515220522880554,0.9573570213707514,17,validation,gcn,freesolv
0.9383168158988712,0.6720017790794373,0.9027152839656384,18,validation,gcn,freesolv
0.6576005344984454,0.49761396646499634,0.9671158411204994,19,validation,gcn,freesolv
0.6995409643995351,0.5319216251373291,0.9656596131725975,20,validation,gcn,freesolv
0.8752201688880764,0.5673459768295288,0.9441325121015799,21,validation,gcn,freesolv
0.948538642530496,0.5671037435531616,0.9373521859614015,22,validation,gcn,freesolv
0.8684813324146972,0.5695692896842957,0.9479123400550209,23,validation,gcn,freesolv
1.090621889213782,0.8188692927360535,0.927096734210766,24,validation,gcn,freesolv
0.7775621730318372,0.5691562294960022,0.9622881986085866,25,validation,gcn,freesolv
0.48650664764186924,0.34654414653778076,0.9862603318883152,26,validation,gcn,freesolv
1.0351258471360762,0.6952574253082275,0.9532346288720711,27,validation,gcn,freesolv
0.5624399418028089,0.3677995502948761,0.9636853495367614,28,validation,gcn,freesolv
1.202323150954047,0.6682409644126892,0.9428563935199461,29,validation,gcn,freesolv
0.6673371078028467,0.46442532539367676,0.9744897389185818,30,validation,gcn,freesolv
1.1527497174525945,0.6566454172134399,0.9331289675345119,31,validation,gcn,freesolv
1.1407068824118343,0.7187333703041077,0.9303538053966507,32,validation,gcn,freesolv
1.1253581006938917,0.5838074684143066,0.8875446844062176,33,validation,gcn,freesolv
0.8151499742467802,0.604759693145752,0.9623942759425889,34,validation,gcn,freesolv
0.9993840347082051,0.5181459784507751,0.9354164167778308,35,validation,gcn,freesolv
0.6846797055767523,0.4796915650367737,0.9636282379408234,36,validation,gcn,freesolv
0.832781314802756,0.6386498808860779,0.9640446626399106,37,validation,gcn,freesolv
0.9296172620382794,0.6362367868423462,0.9112030330810796,38,validation,gcn,freesolv
0.7655806236641286,0.5104876756668091,0.9680931646915155,39,validation,gcn,freesolv
1.0272161020092367,0.6234670281410217,0.8965045250222856,40,validation,gcn,freesolv
0.5706298937801829,0.35126692056655884,0.9769812841129467,41,validation,gcn,freesolv
0.9331799471928088,0.6094651222229004,0.9349308033167442,42,validation,gcn,freesolv
0.7254686222244732,0.4837285280227661,0.9585835021946105,43,validation,gcn,freesolv
0.6483493653115526,0.47208869457244873,0.943318812199571,44,validation,gcn,freesolv
