rmse,mae,r2,split,set,model,dataset
0.9639670833313913,0.6597289443016052,0.9370810726688279,1,train,mpnn,freesolv
1.479181379146567,0.9184811115264893,0.8523082393851342,2,train,mpnn,freesolv
1.2142253908833083,0.8453797101974487,0.901924854487278,3,train,mpnn,freesolv
1.0649865170193966,0.7260515689849854,0.9220197532025443,4,train,mpnn,freesolv
0.6600687544585698,0.45150861144065857,0.9718899534553435,5,train,mpnn,freesolv
1.0074565761664485,0.5838158130645752,0.9278334033559148,6,train,mpnn,freesolv
1.626757551622135,1.029689908027649,0.8177800336304881,7,train,mpnn,freesolv
1.4975794494390613,0.9251584410667419,0.8474584224174055,8,train,mpnn,freesolv
0.8740967448089391,0.5085470676422119,0.9490231803289984,9,train,mpnn,freesolv
0.8592622509599938,0.5630184412002563,0.9406158975690082,10,train,mpnn,freesolv
1.3837299213141543,0.9935030937194824,0.869464275629554,11,train,mpnn,freesolv
1.1647446956771657,0.744209349155426,0.915193796901004,12,train,mpnn,freesolv
0.75012126578031,0.5393301248550415,0.963163582382656,13,train,mpnn,freesolv
0.9427092149986795,0.5904793739318848,0.9389842935346642,14,train,mpnn,freesolv
0.9016413411222793,0.5949746966362,0.9472427403898879,15,train,mpnn,freesolv
0.7327305664588255,0.529693067073822,0.9623091384519052,16,train,mpnn,freesolv
1.8950786625581866,1.2641726732254028,0.7461795224515181,17,train,mpnn,freesolv
1.0286802004453124,0.6530661582946777,0.927036880176187,18,train,mpnn,freesolv
0.5375936093987954,0.3607633411884308,0.9811882515788338,19,train,mpnn,freesolv
0.9111300976417385,0.6412294507026672,0.9439526091384463,20,train,mpnn,freesolv
0.4615339687209738,0.3059779107570648,0.9855252442700203,21,train,mpnn,freesolv
1.0334040945702512,0.714569628238678,0.9243708393109845,22,train,mpnn,freesolv
0.8372362333540196,0.5620569586753845,0.9541342685545963,23,train,mpnn,freesolv
1.1952676203661063,0.7737786769866943,0.9032988401426667,24,train,mpnn,freesolv
1.0832000919468783,0.6588522791862488,0.9210041659128307,25,train,mpnn,freesolv
0.4572327161633118,0.27669215202331543,0.9854500264680507,26,train,mpnn,freesolv
1.2797608444192576,0.860040009021759,0.8847281245852512,27,train,mpnn,freesolv
1.1214086110383992,0.763847827911377,0.9183956794344764,28,train,mpnn,freesolv
3.743777261930881,2.879451274871826,-0.05149760435816586,29,train,mpnn,freesolv
0.7397232505368452,0.4920167624950409,0.9614357830619434,30,train,mpnn,freesolv
1.2281798372329067,0.881147027015686,0.8911306191074205,31,train,mpnn,freesolv
3.905742276574079,3.0121071338653564,-0.06618249526047504,32,train,mpnn,freesolv
0.8576918331248881,0.5365691781044006,0.9522432903947405,33,train,mpnn,freesolv
1.0807932578083388,0.6796661019325256,0.9158866311937925,34,train,mpnn,freesolv
0.9241732059714064,0.6396712064743042,0.943093058828248,35,train,mpnn,freesolv
1.1149014645816546,0.6339211463928223,0.9168299434517533,36,train,mpnn,freesolv
0.5534906504185125,0.33289042115211487,0.9793166009893777,37,train,mpnn,freesolv
1.0058292125142365,0.579536497592926,0.9297970138901632,38,train,mpnn,freesolv
0.9239223827319313,0.5593630075454712,0.934860701493615,39,train,mpnn,freesolv
1.954182697005361,1.2864307165145874,0.75938035744724,40,train,mpnn,freesolv
1.1543338982700688,0.680600643157959,0.9089482081766883,41,train,mpnn,freesolv
0.68690701400529,0.4988939166069031,0.968569898468585,42,train,mpnn,freesolv
1.3441846721142476,0.8755314350128174,0.8802970305664211,43,train,mpnn,freesolv
0.8367678359848723,0.5320219993591309,0.9522232459896057,44,train,mpnn,freesolv
1.7004748382501431,1.1895931959152222,0.7958901287071255,45,train,mpnn,freesolv
0.4489561225441345,0.32637476921081543,0.986786899773246,46,train,mpnn,freesolv
1.0260889200602559,0.5918834209442139,0.9305120406047046,47,train,mpnn,freesolv
0.6059326609614532,0.39756953716278076,0.9756858597357059,48,train,mpnn,freesolv
0.8760201433752958,0.6157937049865723,0.9481778493608465,49,train,mpnn,freesolv
0.6512146503790447,0.4339725375175476,0.9727491914011465,50,train,mpnn,freesolv
1.4328905090594881,0.9054264426231384,0.8838168273291651,1,validation,mpnn,freesolv
1.3173185634003828,1.0430412292480469,0.8515967474329267,2,validation,mpnn,freesolv
1.5400599621580442,1.0236204862594604,0.8586173858635888,3,validation,mpnn,freesolv
1.0211998742080712,0.7553200125694275,0.9158686689441385,4,validation,mpnn,freesolv
1.2293502810562253,0.8852887749671936,0.887271947691635,5,validation,mpnn,freesolv
1.964767606257109,1.0937825441360474,0.8058898306457117,6,validation,mpnn,freesolv
1.2931575118744325,0.902225911617279,0.8405587762154683,7,validation,mpnn,freesolv
1.4977079204467312,1.0419505834579468,0.8663006742773582,8,validation,mpnn,freesolv
1.1368320579031372,0.691277265548706,0.9191632696542039,9,validation,mpnn,freesolv
1.8233531393036624,1.2352690696716309,0.820814511314152,10,validation,mpnn,freesolv
1.7315573959950044,1.2240841388702393,0.8329327974772862,11,validation,mpnn,freesolv
1.1218622743527686,0.9139275550842285,0.8340960430566222,12,validation,mpnn,freesolv
1.06925165549706,0.7812201976776123,0.9168437514738194,13,validation,mpnn,freesolv
1.3247535098422252,0.8153692483901978,0.890797184189315,14,validation,mpnn,freesolv
1.6524877462928278,1.1740814447402954,0.8262161428724618,15,validation,mpnn,freesolv
0.9129457417124763,0.6756476163864136,0.9386451379129734,16,validation,mpnn,freesolv
1.636842927796962,1.1491483449935913,0.7402559364187546,17,validation,mpnn,freesolv
1.1155166402385255,0.7783716917037964,0.8625015683800439,18,validation,mpnn,freesolv
1.2622553862231836,0.8203979730606079,0.8788406647911912,19,validation,mpnn,freesolv
0.9736342205316737,0.7622062563896179,0.9334771923288976,20,validation,mpnn,freesolv
1.1787494188552023,0.8070201873779297,0.8986631296933326,21,validation,mpnn,freesolv
1.3914836847004701,0.9102104306221008,0.8651806879342976,22,validation,mpnn,freesolv
1.0694038265050658,0.7662137746810913,0.9210236023674298,23,validation,mpnn,freesolv
1.8253329874674151,1.223486065864563,0.7957872871594338,24,validation,mpnn,freesolv
1.0961707438197406,0.7872586250305176,0.9250514110544588,25,validation,mpnn,freesolv
0.7856471865972451,0.5967050194740295,0.9641694234162541,26,validation,mpnn,freesolv
1.9201535835033412,1.233451008796692,0.8390799971286536,27,validation,mpnn,freesolv
1.1309117649309357,0.8337572813034058,0.853179392683302,28,validation,mpnn,freesolv
5.077243951514293,3.3036437034606934,-0.019016735158488007,29,validation,mpnn,freesolv
1.7773205430747976,1.0133506059646606,0.8190511330762096,30,validation,mpnn,freesolv
1.8691670925135928,1.2099026441574097,0.8241816338998802,31,validation,mpnn,freesolv
4.349088393529882,2.6819746494293213,-0.012385111325174725,32,validation,mpnn,freesolv
1.2502124605818958,0.8382956385612488,0.8612074493981374,33,validation,mpnn,freesolv
1.4850005588466222,1.0449813604354858,0.8751949480234563,34,validation,mpnn,freesolv
1.4007453416007838,0.9494707584381104,0.8731251056796188,35,validation,mpnn,freesolv
1.7288519408206762,1.0654939413070679,0.7680976952329657,36,validation,mpnn,freesolv
1.3185264199003677,0.751141369342804,0.9098679839984387,37,validation,mpnn,freesolv
1.1999711649132365,0.8397148847579956,0.8520444065794048,38,validation,mpnn,freesolv
1.987859834929927,0.9497858881950378,0.7848836690172477,39,validation,mpnn,freesolv
1.7926362836841874,1.2999701499938965,0.6848029693000308,40,validation,mpnn,freesolv
1.4415315403023277,0.8658863306045532,0.8531004943154785,41,validation,mpnn,freesolv
1.2098831016252722,0.7972524762153625,0.8906216247752161,42,validation,mpnn,freesolv
1.1798932736025705,0.824715793132782,0.8904476863814337,43,validation,mpnn,freesolv
0.8092360962789051,0.567099928855896,0.9116978557389985,44,validation,mpnn,freesolv
1.8616920587736978,1.404442310333252,0.8144535410784796,45,validation,mpnn,freesolv
0.780888511949944,0.5496538281440735,0.95552295213492,46,validation,mpnn,freesolv
1.1716543371348602,0.8275283575057983,0.9004771378804861,47,validation,mpnn,freesolv
1.1554819597645956,0.7377175688743591,0.8880068970231694,48,validation,mpnn,freesolv
1.2477362638744283,0.903647780418396,0.9001993589777495,49,validation,mpnn,freesolv
1.6287947875018176,0.7466621398925781,0.7740827149532139,50,validation,mpnn,freesolv
1.5803660730412894,1.0622351169586182,0.7900975475041467,1,test,mpnn,freesolv
1.8413955396843276,1.269580364227295,0.8037418566109075,2,test,mpnn,freesolv
1.2385180514656022,0.8643786907196045,0.8523284404440081,3,test,mpnn,freesolv
1.7855497298033196,1.1053996086120605,0.8307100589819867,4,test,mpnn,freesolv
0.8683362345973461,0.6375561952590942,0.9188655004994688,5,test,mpnn,freesolv
1.778465302792465,1.1038885116577148,0.8000982770463664,6,test,mpnn,freesolv
1.9858911684455813,1.3434075117111206,0.8101366492569846,7,test,mpnn,freesolv
1.7827149106195208,1.1666371822357178,0.7636603438500061,8,test,mpnn,freesolv
1.4353424134263286,0.932352602481842,0.8162954316453416,9,test,mpnn,freesolv
2.2215190317942963,1.4389967918395996,0.8249601604055602,10,test,mpnn,freesolv
1.7612922642809923,1.3206548690795898,0.7534220745302913,11,test,mpnn,freesolv
1.5393006581032138,1.1847569942474365,0.779892679032832,12,test,mpnn,freesolv
1.1174686318247071,0.7990183234214783,0.892270335562317,13,test,mpnn,freesolv
1.1608937805897712,0.7372053861618042,0.9100299042450214,14,test,mpnn,freesolv
1.6924833960120163,1.043973684310913,0.6667884792041284,15,test,mpnn,freesolv
1.8112788855314013,1.0879334211349487,0.8361573520682707,16,test,mpnn,freesolv
2.959959004350243,1.6852214336395264,0.6282402157644669,17,test,mpnn,freesolv
2.438927061534809,1.3896009922027588,0.7239824903029932,18,test,mpnn,freesolv
1.6171290437757349,0.8643707633018494,0.7728560941826017,19,test,mpnn,freesolv
1.8595569425410157,1.0921790599822998,0.7669592457708094,20,test,mpnn,freesolv
2.059239092728605,1.197622537612915,0.7373974176698563,21,test,mpnn,freesolv
1.7734975258503711,1.0380271673202515,0.8461796157819959,22,test,mpnn,freesolv
1.3269538652554418,0.7748684287071228,0.8353876264624239,23,test,mpnn,freesolv
1.420009437180443,0.9302604794502258,0.8402035510033953,24,test,mpnn,freesolv
1.311266682957797,0.8660219311714172,0.8661564519976235,25,test,mpnn,freesolv
1.2440165842643511,0.72422194480896,0.8982246767094817,26,test,mpnn,freesolv
1.6084895244253714,1.251838207244873,0.7795919265241319,27,test,mpnn,freesolv
1.6560318281321598,1.0756747722625732,0.8155492819558292,28,test,mpnn,freesolv
3.917962908146193,3.0514044761657715,-0.017739668297462208,29,test,mpnn,freesolv
1.4032413510889075,0.894942045211792,0.8827612752602519,30,test,mpnn,freesolv
1.4916441562310896,1.0431199073791504,0.8605536732174148,31,test,mpnn,freesolv
3.695767719384503,2.921006202697754,-0.02568932034997573,32,test,mpnn,freesolv
1.209321106096748,0.8726489543914795,0.8867848491288347,33,test,mpnn,freesolv
1.578718545922027,0.8749439716339111,0.8663071953718933,34,test,mpnn,freesolv
1.1341617310187926,0.6637009978294373,0.8841479947435167,35,test,mpnn,freesolv
1.8904749282671638,1.154351830482483,0.759096644097659,36,test,mpnn,freesolv
1.073076563404655,0.7275142073631287,0.8873545858458691,37,test,mpnn,freesolv
2.2607664432419092,1.195996642112732,0.7653190623810553,38,test,mpnn,freesolv
2.345616932221587,1.3580899238586426,0.7667052645581918,39,test,mpnn,freesolv
1.5715099722351342,1.1823798418045044,0.7471279007167759,40,test,mpnn,freesolv
2.1890957053128224,1.3247451782226562,0.7018455840278952,41,test,mpnn,freesolv
1.0698439971892344,0.7307659387588501,0.9168335948570024,42,test,mpnn,freesolv
1.4178522235500877,1.0611438751220703,0.8520027042994754,43,test,mpnn,freesolv
2.16223386769667,1.2069125175476074,0.7901893632464527,44,test,mpnn,freesolv
1.4467466095547972,1.1383627653121948,0.8680424956240289,45,test,mpnn,freesolv
1.3889008452642575,0.9112910628318787,0.8364862281299122,46,test,mpnn,freesolv
1.7529160862982083,1.1792845726013184,0.7582249527899151,47,test,mpnn,freesolv
1.4846367856121816,0.9587429761886597,0.8419096835989333,48,test,mpnn,freesolv
1.5693017544017493,0.9506638050079346,0.8180884194489587,49,test,mpnn,freesolv
0.8792571660027187,0.6362234354019165,0.931070161913092,50,test,mpnn,freesolv
